state,state_name,electrician_multiplier,hvac_multiplier,plumber_multiplier,permit_avg,notes,source_id,last_reviewed
AL,Alabama,0.86,0.88,0.85,180,,BLS_OEWS,2024-05-01
AK,Alaska,1.32,1.30,1.28,420,Remote labor premium,BLS_OEWS,2024-05-01
AZ,Arizona,0.96,0.97,0.94,260,,BLS_OEWS,2024-05-01
AR,Arkansas,0.84,0.86,0.83,160,,BLS_OEWS,2024-05-01
CA,California,1.42,1.45,1.36,520,High labor + Title 24 compliance; HVAC 1.45 reflects BLS OEWS CA premium and EnergySage 2025 CA installed-cost benchmarks,BLS_OEWS,2026-05-27
CO,Colorado,1.08,1.10,1.06,310,,BLS_OEWS,2024-05-01
CT,Connecticut,1.22,1.20,1.18,380,,BLS_OEWS,2024-05-01
DE,Delaware,1.10,1.10,1.08,300,,BLS_OEWS,2024-05-01
FL,Florida,0.98,1.00,0.96,260,,BLS_OEWS,2024-05-01
GA,Georgia,0.94,0.95,0.92,240,,BLS_OEWS,2024-05-01
HI,Hawaii,1.55,1.50,1.45,520,Highest labor + import costs,BLS_OEWS,2024-05-01
ID,Idaho,0.93,0.95,0.92,210,,BLS_OEWS,2024-05-01
IL,Illinois,1.18,1.16,1.14,340,Chicago drives state average up,BLS_OEWS,2024-05-01
IN,Indiana,0.95,0.96,0.94,230,,BLS_OEWS,2024-05-01
IA,Iowa,0.94,0.95,0.93,220,,BLS_OEWS,2024-05-01
KS,Kansas,0.92,0.93,0.91,210,,BLS_OEWS,2024-05-01
KY,Kentucky,0.88,0.90,0.87,200,,BLS_OEWS,2024-05-01
LA,Louisiana,0.92,0.94,0.90,240,,BLS_OEWS,2024-05-01
ME,Maine,1.05,1.08,1.04,280,,BLS_OEWS,2024-05-01
MD,Maryland,1.18,1.16,1.14,360,,BLS_OEWS,2024-05-01
MA,Massachusetts,1.32,1.30,1.28,420,,BLS_OEWS,2024-05-01
MI,Michigan,1.05,1.06,1.04,280,,BLS_OEWS,2024-05-01
MN,Minnesota,1.10,1.12,1.08,310,,BLS_OEWS,2024-05-01
MS,Mississippi,0.83,0.85,0.82,160,,BLS_OEWS,2024-05-01
MO,Missouri,0.97,0.98,0.96,240,,BLS_OEWS,2024-05-01
MT,Montana,0.96,0.98,0.94,220,,BLS_OEWS,2024-05-01
NE,Nebraska,0.93,0.94,0.92,210,,BLS_OEWS,2024-05-01
NV,Nevada,1.06,1.08,1.04,280,,BLS_OEWS,2024-05-01
NH,New Hampshire,1.14,1.14,1.12,310,,BLS_OEWS,2024-05-01
NJ,New Jersey,1.30,1.28,1.26,420,,BLS_OEWS,2024-05-01
NM,New Mexico,0.92,0.94,0.91,220,,BLS_OEWS,2024-05-01
NY,New York,1.40,1.36,1.34,500,NYC drives state average up,BLS_OEWS,2024-05-01
NC,North Carolina,0.94,0.96,0.93,250,,BLS_OEWS,2024-05-01
ND,North Dakota,0.99,1.00,0.97,230,,BLS_OEWS,2024-05-01
OH,Ohio,1.00,1.00,0.98,260,,BLS_OEWS,2024-05-01
OK,Oklahoma,0.88,0.90,0.86,200,,BLS_OEWS,2024-05-01
OR,Oregon,1.16,1.16,1.14,340,,BLS_OEWS,2024-05-01
PA,Pennsylvania,1.10,1.10,1.08,300,,BLS_OEWS,2024-05-01
RI,Rhode Island,1.20,1.18,1.16,360,,BLS_OEWS,2024-05-01
SC,South Carolina,0.92,0.94,0.91,240,,BLS_OEWS,2024-05-01
SD,South Dakota,0.92,0.93,0.91,200,,BLS_OEWS,2024-05-01
TN,Tennessee,0.93,0.95,0.92,230,,BLS_OEWS,2024-05-01
TX,Texas,1.00,1.02,0.98,260,Wide variance Houston/Austin/Dallas,BLS_OEWS,2024-05-01
UT,Utah,0.98,1.00,0.96,260,,BLS_OEWS,2024-05-01
VT,Vermont,1.10,1.12,1.08,280,,BLS_OEWS,2024-05-01
VA,Virginia,1.05,1.06,1.04,290,,BLS_OEWS,2024-05-01
WA,Washington,1.22,1.20,1.18,380,,BLS_OEWS,2024-05-01
WV,West Virginia,0.90,0.92,0.88,200,,BLS_OEWS,2024-05-01
WI,Wisconsin,1.04,1.05,1.02,260,,BLS_OEWS,2024-05-01
WY,Wyoming,0.96,0.98,0.94,210,,BLS_OEWS,2024-05-01
DC,District of Columbia,1.34,1.30,1.28,440,,BLS_OEWS,2024-05-01
