brand,spec,per_head_low,per_head_mid,per_head_high,unit,notes,source_id,last_reviewed
mitsubishi,standard,3800,4800,6000,$/head,Standard M-series single-zone heads,Mitsubishi_dealer_avg,2026-05-11
mitsubishi,hyperheat,4500,5500,7000,$/head,Hyper-Heat H2i (cold-climate),NEEP_CCASHP,2026-05-11
daikin,standard,3500,4400,5500,$/head,Standard Daikin,Daikin_dealer_avg,2026-05-11
daikin,hyperheat,4200,5100,6500,$/head,Daikin Aurora cold-climate,NEEP_CCASHP,2026-05-11
fujitsu,standard,3300,4200,5200,$/head,Standard Halcyon,Fujitsu_dealer_avg,2026-05-11
fujitsu,hyperheat,4000,4900,6200,$/head,Halcyon XLTH cold-climate,NEEP_CCASHP,2026-05-11
lg,standard,3000,3900,4800,$/head,LG standard,LG_dealer_avg,2026-05-11
lg,hyperheat,3700,4600,5800,$/head,LG cold-climate,NEEP_CCASHP,2026-05-11
pioneer,standard,2000,2800,3700,$/head,Budget/DIY Pioneer,Pioneer_MSRP,2026-05-11
pioneer,hyperheat,2700,3500,4600,$/head,Pioneer cold-climate,Pioneer_MSRP,2026-05-11
multi_zone_discount,1,1.00,1.00,1.00,multiplier,Single zone — no shared-outdoor economy,NEEP_CCASHP,2026-05-11
multi_zone_discount,2,0.92,0.92,0.92,multiplier,2 zones shared outdoor,NEEP_CCASHP,2026-05-11
multi_zone_discount,3,0.88,0.88,0.88,multiplier,3 zones,NEEP_CCASHP,2026-05-11
multi_zone_discount,4,0.85,0.85,0.85,multiplier,4 zones,NEEP_CCASHP,2026-05-11
multi_zone_discount,5,0.83,0.83,0.83,multiplier,5 zones (max for most outdoor units),NEEP_CCASHP,2026-05-11
electrical_adder,base,400,800,1500,$,240V circuit + disconnect,NEC_440,2026-05-11
permit,base,200,400,700,$,Permit + inspection,municipal_avg,2026-05-11
