slug,city,state,rank,source_id,last_reviewed
new-york-ny,New York,NY,1,SRC_CENSUS_CITY_POP,2026-06-12
los-angeles-ca,Los Angeles,CA,2,SRC_CENSUS_CITY_POP,2026-06-12
chicago-il,Chicago,IL,3,SRC_CENSUS_CITY_POP,2026-06-12
houston-tx,Houston,TX,4,SRC_CENSUS_CITY_POP,2026-06-12
phoenix-az,Phoenix,AZ,5,SRC_CENSUS_CITY_POP,2026-06-12
philadelphia-pa,Philadelphia,PA,6,SRC_CENSUS_CITY_POP,2026-06-12
san-antonio-tx,San Antonio,TX,7,SRC_CENSUS_CITY_POP,2026-06-12
san-diego-ca,San Diego,CA,8,SRC_CENSUS_CITY_POP,2026-06-12
dallas-tx,Dallas,TX,9,SRC_CENSUS_CITY_POP,2026-06-12
jacksonville-fl,Jacksonville,FL,10,SRC_CENSUS_CITY_POP,2026-06-12
austin-tx,Austin,TX,11,SRC_CENSUS_CITY_POP,2026-06-12
fort-worth-tx,Fort Worth,TX,12,SRC_CENSUS_CITY_POP,2026-06-12
san-jose-ca,San Jose,CA,13,SRC_CENSUS_CITY_POP,2026-06-12
columbus-oh,Columbus,OH,14,SRC_CENSUS_CITY_POP,2026-06-12
charlotte-nc,Charlotte,NC,15,SRC_CENSUS_CITY_POP,2026-06-12
indianapolis-in,Indianapolis,IN,16,SRC_CENSUS_CITY_POP,2026-06-12
san-francisco-ca,San Francisco,CA,17,SRC_CENSUS_CITY_POP,2026-06-12
seattle-wa,Seattle,WA,18,SRC_CENSUS_CITY_POP,2026-06-12
denver-co,Denver,CO,19,SRC_CENSUS_CITY_POP,2026-06-12
oklahoma-city-ok,Oklahoma City,OK,20,SRC_CENSUS_CITY_POP,2026-06-12
nashville-tn,Nashville,TN,21,SRC_CENSUS_CITY_POP,2026-06-12
washington-dc,Washington,DC,22,SRC_CENSUS_CITY_POP,2026-06-12
el-paso-tx,El Paso,TX,23,SRC_CENSUS_CITY_POP,2026-06-12
boston-ma,Boston,MA,24,SRC_CENSUS_CITY_POP,2026-06-12
las-vegas-nv,Las Vegas,NV,25,SRC_CENSUS_CITY_POP,2026-06-12
portland-or,Portland,OR,26,SRC_CENSUS_CITY_POP,2026-06-12
detroit-mi,Detroit,MI,27,SRC_CENSUS_CITY_POP,2026-06-12
louisville-ky,Louisville,KY,28,SRC_CENSUS_CITY_POP,2026-06-12
memphis-tn,Memphis,TN,29,SRC_CENSUS_CITY_POP,2026-06-12
baltimore-md,Baltimore,MD,30,SRC_CENSUS_CITY_POP,2026-06-12
milwaukee-wi,Milwaukee,WI,31,SRC_CENSUS_CITY_POP,2026-06-12
albuquerque-nm,Albuquerque,NM,32,SRC_CENSUS_CITY_POP,2026-06-12
tucson-az,Tucson,AZ,33,SRC_CENSUS_CITY_POP,2026-06-12
fresno-ca,Fresno,CA,34,SRC_CENSUS_CITY_POP,2026-06-12
sacramento-ca,Sacramento,CA,35,SRC_CENSUS_CITY_POP,2026-06-12
mesa-az,Mesa,AZ,36,SRC_CENSUS_CITY_POP,2026-06-12
kansas-city-mo,Kansas City,MO,37,SRC_CENSUS_CITY_POP,2026-06-12
atlanta-ga,Atlanta,GA,38,SRC_CENSUS_CITY_POP,2026-06-12
omaha-ne,Omaha,NE,39,SRC_CENSUS_CITY_POP,2026-06-12
colorado-springs-co,Colorado Springs,CO,40,SRC_CENSUS_CITY_POP,2026-06-12
raleigh-nc,Raleigh,NC,41,SRC_CENSUS_CITY_POP,2026-06-12
virginia-beach-va,Virginia Beach,VA,42,SRC_CENSUS_CITY_POP,2026-06-12
long-beach-ca,Long Beach,CA,43,SRC_CENSUS_CITY_POP,2026-06-12
miami-fl,Miami,FL,44,SRC_CENSUS_CITY_POP,2026-06-12
oakland-ca,Oakland,CA,45,SRC_CENSUS_CITY_POP,2026-06-12
minneapolis-mn,Minneapolis,MN,46,SRC_CENSUS_CITY_POP,2026-06-12
tulsa-ok,Tulsa,OK,47,SRC_CENSUS_CITY_POP,2026-06-12
bakersfield-ca,Bakersfield,CA,48,SRC_CENSUS_CITY_POP,2026-06-12
wichita-ks,Wichita,KS,49,SRC_CENSUS_CITY_POP,2026-06-12
arlington-tx,Arlington,TX,50,SRC_CENSUS_CITY_POP,2026-06-12
aurora-co,Aurora,CO,51,SRC_CENSUS_CITY_POP,2026-06-12
tampa-fl,Tampa,FL,52,SRC_CENSUS_CITY_POP,2026-06-12
new-orleans-la,New Orleans,LA,53,SRC_CENSUS_CITY_POP,2026-06-12
cleveland-oh,Cleveland,OH,54,SRC_CENSUS_CITY_POP,2026-06-12
honolulu-hi,Honolulu,HI,55,SRC_CENSUS_CITY_POP,2026-06-12
anaheim-ca,Anaheim,CA,56,SRC_CENSUS_CITY_POP,2026-06-12
lexington-ky,Lexington,KY,57,SRC_CENSUS_CITY_POP,2026-06-12
stockton-ca,Stockton,CA,58,SRC_CENSUS_CITY_POP,2026-06-12
corpus-christi-tx,Corpus Christi,TX,59,SRC_CENSUS_CITY_POP,2026-06-12
henderson-nv,Henderson,NV,60,SRC_CENSUS_CITY_POP,2026-06-12
riverside-ca,Riverside,CA,61,SRC_CENSUS_CITY_POP,2026-06-12
newark-nj,Newark,NJ,62,SRC_CENSUS_CITY_POP,2026-06-12
saint-paul-mn,Saint Paul,MN,63,SRC_CENSUS_CITY_POP,2026-06-12
santa-ana-ca,Santa Ana,CA,64,SRC_CENSUS_CITY_POP,2026-06-12
cincinnati-oh,Cincinnati,OH,65,SRC_CENSUS_CITY_POP,2026-06-12
irvine-ca,Irvine,CA,66,SRC_CENSUS_CITY_POP,2026-06-12
orlando-fl,Orlando,FL,67,SRC_CENSUS_CITY_POP,2026-06-12
pittsburgh-pa,Pittsburgh,PA,68,SRC_CENSUS_CITY_POP,2026-06-12
st-louis-mo,St. Louis,MO,69,SRC_CENSUS_CITY_POP,2026-06-12
greensboro-nc,Greensboro,NC,70,SRC_CENSUS_CITY_POP,2026-06-12
lincoln-ne,Lincoln,NE,71,SRC_CENSUS_CITY_POP,2026-06-12
plano-tx,Plano,TX,72,SRC_CENSUS_CITY_POP,2026-06-12
anchorage-ak,Anchorage,AK,73,SRC_CENSUS_CITY_POP,2026-06-12
durham-nc,Durham,NC,74,SRC_CENSUS_CITY_POP,2026-06-12
jersey-city-nj,Jersey City,NJ,75,SRC_CENSUS_CITY_POP,2026-06-12
chandler-az,Chandler,AZ,76,SRC_CENSUS_CITY_POP,2026-06-12
madison-wi,Madison,WI,77,SRC_CENSUS_CITY_POP,2026-06-12
buffalo-ny,Buffalo,NY,78,SRC_CENSUS_CITY_POP,2026-06-12
lubbock-tx,Lubbock,TX,79,SRC_CENSUS_CITY_POP,2026-06-12
scottsdale-az,Scottsdale,AZ,80,SRC_CENSUS_CITY_POP,2026-06-12
