parameter,key,low,mid,high,unit,notes,source_id,last_reviewed
attic_per_sqft,blown_cellulose,1.50,2.00,2.50,$/sqft,Recommended attic upgrade R-3.7/inch,NAIMA_2024,2026-05-11
attic_per_sqft,blown_fiberglass,1.25,1.75,2.25,$/sqft,Blown-in fiberglass R-3.1-3.4/inch,NAIMA_2024,2026-05-11
attic_per_sqft,open_foam,3.50,4.50,6.00,$/sqft,Open-cell spray foam R-3.5/inch,Building_Science_Corp,2026-05-11
attic_per_sqft,closed_foam,4.50,6.00,8.50,$/sqft,Closed-cell spray foam R-6.5/inch,Building_Science_Corp,2026-05-11
wall_per_sqft,drill_and_fill,2.00,3.00,4.50,$/sqft,Wall drill-and-fill cellulose or fiberglass,NAIMA_2024,2026-05-11
air_seal_job,blower_door,600,1200,2200,$,Blower-door diagnostic + sealing,ENERGY_STAR_HPwES,2026-05-11
crawl_encapsulate,full,3500,7500,14000,$,Rim joist + crawl space encapsulation,Building_Science_Corp,2026-05-11
savings_pct,attic_only_existing_none,0.10,0.15,0.20,fraction,HVAC savings if no prior attic insulation,ENERGY_STAR_Seal_Insulate,2026-05-11
savings_pct,attic_only_existing_low,0.08,0.12,0.16,fraction,HVAC savings from R-11 to R-49 attic,ENERGY_STAR_Seal_Insulate,2026-05-11
savings_pct,walls_only,0.05,0.07,0.10,fraction,Wall fill HVAC savings,ENERGY_STAR_Seal_Insulate,2026-05-11
savings_pct,air_sealing,0.05,0.10,0.15,fraction,Air-sealing HVAC savings,DOE_Building_America,2026-05-11
