state,state_name,kwh_per_kw_year,source_id,last_reviewed,notes
AL,Alabama,1400,NREL_PVWATTS,2026-05-11,South-facing fixed tilt average
AK,Alaska,1050,NREL_PVWATTS,2026-05-11,Limited solar resource
AZ,Arizona,1700,NREL_PVWATTS,2026-05-11,Highest U.S. solar yield
AR,Arkansas,1400,NREL_PVWATTS,2026-05-11,
CA,California,1600,NREL_PVWATTS,2026-05-11,Strong yield statewide
CO,Colorado,1600,NREL_PVWATTS,2026-05-11,High altitude + sun
CT,Connecticut,1300,NREL_PVWATTS,2026-05-11,
DE,Delaware,1350,NREL_PVWATTS,2026-05-11,
DC,District of Columbia,1350,NREL_PVWATTS,2026-05-11,
FL,Florida,1450,NREL_PVWATTS,2026-05-11,Humidity reduces vs AZ
GA,Georgia,1400,NREL_PVWATTS,2026-05-11,
HI,Hawaii,1700,NREL_PVWATTS,2026-05-11,
ID,Idaho,1450,NREL_PVWATTS,2026-05-11,
IL,Illinois,1300,NREL_PVWATTS,2026-05-11,
IN,Indiana,1300,NREL_PVWATTS,2026-05-11,
IA,Iowa,1350,NREL_PVWATTS,2026-05-11,
KS,Kansas,1500,NREL_PVWATTS,2026-05-11,
KY,Kentucky,1300,NREL_PVWATTS,2026-05-11,
LA,Louisiana,1400,NREL_PVWATTS,2026-05-11,
ME,Maine,1250,NREL_PVWATTS,2026-05-11,
MD,Maryland,1300,NREL_PVWATTS,2026-05-11,
MA,Massachusetts,1300,NREL_PVWATTS,2026-05-11,
MI,Michigan,1250,NREL_PVWATTS,2026-05-11,
MN,Minnesota,1350,NREL_PVWATTS,2026-05-11,
MS,Mississippi,1400,NREL_PVWATTS,2026-05-11,
MO,Missouri,1400,NREL_PVWATTS,2026-05-11,
MT,Montana,1400,NREL_PVWATTS,2026-05-11,
NE,Nebraska,1450,NREL_PVWATTS,2026-05-11,
NV,Nevada,1700,NREL_PVWATTS,2026-05-11,
NH,New Hampshire,1300,NREL_PVWATTS,2026-05-11,
NJ,New Jersey,1300,NREL_PVWATTS,2026-05-11,
NM,New Mexico,1700,NREL_PVWATTS,2026-05-11,
NY,New York,1250,NREL_PVWATTS,2026-05-11,
NC,North Carolina,1400,NREL_PVWATTS,2026-05-11,
ND,North Dakota,1400,NREL_PVWATTS,2026-05-11,
OH,Ohio,1250,NREL_PVWATTS,2026-05-11,
OK,Oklahoma,1500,NREL_PVWATTS,2026-05-11,
OR,Oregon,1250,NREL_PVWATTS,2026-05-11,
PA,Pennsylvania,1300,NREL_PVWATTS,2026-05-11,
RI,Rhode Island,1300,NREL_PVWATTS,2026-05-11,
SC,South Carolina,1400,NREL_PVWATTS,2026-05-11,
SD,South Dakota,1450,NREL_PVWATTS,2026-05-11,
TN,Tennessee,1350,NREL_PVWATTS,2026-05-11,
TX,Texas,1500,NREL_PVWATTS,2026-05-11,
UT,Utah,1600,NREL_PVWATTS,2026-05-11,
VT,Vermont,1250,NREL_PVWATTS,2026-05-11,
VA,Virginia,1350,NREL_PVWATTS,2026-05-11,
WA,Washington,1100,NREL_PVWATTS,2026-05-11,Lowest U.S. specific yield
WV,West Virginia,1250,NREL_PVWATTS,2026-05-11,
WI,Wisconsin,1300,NREL_PVWATTS,2026-05-11,
WY,Wyoming,1500,NREL_PVWATTS,2026-05-11,
