state,zip_low,zip_high,notes,source_id,last_reviewed
AL,35000,36999,,SRC_USPS_ZIP,2026-06-12
AK,99500,99999,,SRC_USPS_ZIP,2026-06-12
AZ,85000,86999,,SRC_USPS_ZIP,2026-06-12
AR,71600,72999,,SRC_USPS_ZIP,2026-06-12
CA,90000,96199,,SRC_USPS_ZIP,2026-06-12
CO,80000,81699,,SRC_USPS_ZIP,2026-06-12
CT,06000,06999,Connecticut uses 06xxx,SRC_USPS_ZIP,2026-06-12
DE,19700,19999,,SRC_USPS_ZIP,2026-06-12
DC,20001,20099,DC primary range,SRC_USPS_ZIP,2026-06-12
DC,20201,20599,DC additional,SRC_USPS_ZIP,2026-06-12
FL,32000,34999,,SRC_USPS_ZIP,2026-06-12
GA,30000,31999,,SRC_USPS_ZIP,2026-06-12
GA,39800,39999,Georgia southwest tail,SRC_USPS_ZIP,2026-06-12
HI,96700,96899,,SRC_USPS_ZIP,2026-06-12
ID,83200,83899,,SRC_USPS_ZIP,2026-06-12
IL,60000,62999,,SRC_USPS_ZIP,2026-06-12
IN,46000,47999,,SRC_USPS_ZIP,2026-06-12
IA,50000,52999,,SRC_USPS_ZIP,2026-06-12
KS,66000,67999,,SRC_USPS_ZIP,2026-06-12
KY,40000,42999,,SRC_USPS_ZIP,2026-06-12
LA,70000,71499,,SRC_USPS_ZIP,2026-06-12
ME,03900,04999,,SRC_USPS_ZIP,2026-06-12
MD,20330,21999,Maryland; overlaps with DC at low end,SRC_USPS_ZIP,2026-06-12
MA,01000,02799,Massachusetts,SRC_USPS_ZIP,2026-06-12
MI,48000,49999,,SRC_USPS_ZIP,2026-06-12
MN,55000,56999,,SRC_USPS_ZIP,2026-06-12
MS,38600,39799,,SRC_USPS_ZIP,2026-06-12
MO,63000,65999,,SRC_USPS_ZIP,2026-06-12
MT,59000,59999,,SRC_USPS_ZIP,2026-06-12
NE,68000,69399,,SRC_USPS_ZIP,2026-06-12
NV,88900,89999,Nevada,SRC_USPS_ZIP,2026-06-12
NH,03000,03899,New Hampshire,SRC_USPS_ZIP,2026-06-12
NJ,07000,08999,,SRC_USPS_ZIP,2026-06-12
NM,87000,88499,,SRC_USPS_ZIP,2026-06-12
NY,10000,14999,New York,SRC_USPS_ZIP,2026-06-12
NY,00500,00599,NY special (Holtsville IRS),SRC_USPS_ZIP,2026-06-12
NC,27000,28999,,SRC_USPS_ZIP,2026-06-12
ND,58000,58999,,SRC_USPS_ZIP,2026-06-12
OH,43000,45999,,SRC_USPS_ZIP,2026-06-12
OK,73000,74999,,SRC_USPS_ZIP,2026-06-12
OR,97000,97999,,SRC_USPS_ZIP,2026-06-12
PA,15000,19699,,SRC_USPS_ZIP,2026-06-12
RI,02800,02999,,SRC_USPS_ZIP,2026-06-12
SC,29000,29999,,SRC_USPS_ZIP,2026-06-12
SD,57000,57999,,SRC_USPS_ZIP,2026-06-12
TN,37000,38599,,SRC_USPS_ZIP,2026-06-12
TX,75000,79999,Texas main,SRC_USPS_ZIP,2026-06-12
TX,73300,73399,Austin etc.,SRC_USPS_ZIP,2026-06-12
TX,77000,77999,Houston,SRC_USPS_ZIP,2026-06-12
TX,88500,88599,Far west Texas,SRC_USPS_ZIP,2026-06-12
UT,84000,84799,,SRC_USPS_ZIP,2026-06-12
VT,05000,05999,,SRC_USPS_ZIP,2026-06-12
VA,20100,24699,Virginia (overlaps low DC/MD edges),SRC_USPS_ZIP,2026-06-12
WA,98000,99499,,SRC_USPS_ZIP,2026-06-12
WV,24700,26999,,SRC_USPS_ZIP,2026-06-12
WI,53000,54999,,SRC_USPS_ZIP,2026-06-12
WY,82000,83199,,SRC_USPS_ZIP,2026-06-12
