module,scenario,unit,base_low,base_mid,base_high,material_low,material_mid,material_high,labor_hours_low,labor_hours_mid,labor_hours_high,permit_low,permit_mid,permit_high,notes,source_id,last_reviewed
heat_pump,ducted_central_3ton,system,7500,11500,16500,4500,6500,9000,16,22,30,150,300,600,Replacement of central system with ducted heat pump; assumes existing ductwork usable,SRC_DOE_HP_BENCHMARK,2026-05-01
heat_pump,ducted_central_4ton,system,9500,14000,20000,5500,8000,11000,18,26,34,150,300,600,4-ton ducted system for larger home,SRC_DOE_HP_BENCHMARK,2026-05-01
heat_pump,ductless_minisplit_1head,system,3500,5500,8000,2000,3000,4500,6,10,16,100,200,400,Single-zone mini-split,SRC_DOE_HP_BENCHMARK,2026-05-01
heat_pump,ductless_minisplit_3head,system,7500,11000,16000,4500,6500,9500,14,22,30,150,300,600,Three-zone multi-head mini-split,SRC_DOE_HP_BENCHMARK,2026-05-01
heat_pump,coldclimate_ducted,system,9500,14500,21000,5500,8500,12000,18,26,36,150,350,650,Cold-climate rated ducted heat pump for cold zones,SRC_DOE_HP_BENCHMARK,2026-05-01
heat_pump,dual_fuel_with_gas_furnace,system,8500,13000,19500,5000,7500,11000,16,24,34,150,350,650,Dual-fuel system retaining existing gas furnace as backup,SRC_DOE_HP_BENCHMARK,2026-05-01
ev_charger,level2_hardwired,unit,800,1500,2800,400,650,1100,4,7,12,75,175,350,Level 2 hardwired install with new 240V circuit; assumes panel capacity available,SRC_AFDC_LAWS,2026-05-01
ev_charger,level2_plugin_nema14_50,unit,650,1200,2200,350,500,900,3,5,9,75,175,350,Level 2 plug-in via NEMA 14-50 outlet,SRC_AFDC_LAWS,2026-05-01
ev_charger,level2_long_run_50ft,unit,1100,1900,3500,500,800,1400,5,9,15,75,200,400,Adds long conduit run typically 30-50ft from panel,SRC_AFDC_LAWS,2026-05-01
ev_charger,level2_detached_garage_trench,unit,2200,3800,6500,700,1200,2000,10,18,32,150,300,600,Detached garage with trenching for buried conduit,SRC_AFDC_LAWS,2026-05-01
panel,upgrade_100_to_200,service,1800,2900,4500,700,1100,1700,8,12,18,150,300,600,Replace 100A panel with 200A; common scenario,SRC_BLS_ELECTRICIAN,2026-05-01
panel,upgrade_150_to_200,service,1500,2400,3700,650,950,1500,7,10,15,150,300,600,150A to 200A; sometimes only meter/main work needed,SRC_BLS_ELECTRICIAN,2026-05-01
panel,upgrade_200_to_320,service,3500,5200,7800,1500,2400,3500,12,18,28,200,400,800,200A to 320/400A; more utility coordination required,SRC_BLS_ELECTRICIAN,2026-05-01
panel,subpanel_add,service,800,1400,2400,300,500,900,4,7,12,75,150,300,Add subpanel without main service upgrade,SRC_BLS_ELECTRICIAN,2026-05-01
panel,load_management_device,service,500,900,1500,300,500,800,2,4,6,0,75,150,Smart load management instead of full upgrade,SRC_NEC_LOAD_MGMT,2026-05-01
panel,service_drop_overhead_to_underground,service,2200,3800,6500,700,1200,2200,10,16,28,200,400,800,Convert overhead service to underground; trenching involved,SRC_BLS_ELECTRICIAN,2026-05-01
hpwh,plugin_120v_50gal,unit,1700,2400,3400,1300,1700,2300,3,5,8,75,175,350,120V plug-in heat pump water heater 50gal,SRC_DOE_HPWH,2026-05-01
hpwh,hybrid_240v_50gal,unit,2200,3000,4200,1500,2000,2800,4,7,11,75,175,350,Standard 240V hybrid heat pump water heater 50gal,SRC_DOE_HPWH,2026-05-01
hpwh,hybrid_240v_80gal,unit,2700,3700,5200,1900,2500,3400,5,8,12,75,175,350,80gal hybrid for larger households,SRC_DOE_HPWH,2026-05-01
hpwh,split_system,unit,5500,8000,12000,4000,5800,8800,10,14,20,100,250,500,Split-system HPWH (Sanden / Daikin Altherma class); equipment $4-9k; separate compressor and heavier install. https://www.greenbuildingadvisor.com/article/split-system-heat-pump-water-heaters,SRC_DOE_HPWH,2026-05-13
induction,range_30in_basic,unit,1200,1900,2800,850,1300,2000,2,4,6,50,100,200,30-inch induction range basic tier (Yale Appliance 2026 best-sellers: Frigidaire $1099 / GE Profile $1499 / Bosch 500 $2099). https://blog.yaleappliance.com/most-reliable-induction-ranges,SRC_ENERGYSTAR_RANGES,2026-05-13
induction,range_30in_premium,unit,2800,4200,6500,2200,3200,4800,2,4,6,50,100,200,Premium induction range with convection,SRC_ENERGYSTAR_RANGES,2026-05-01
induction,cooktop_30in_plugin,unit,800,1400,2400,600,1000,1700,1,2,4,0,75,150,Plug-in induction cooktop only,SRC_ENERGYSTAR_RANGES,2026-05-01
induction,kitchen_240v_circuit_add,service,400,750,1300,150,275,500,2,4,7,75,150,300,New 240V circuit for induction range,SRC_BLS_ELECTRICIAN,2026-05-01
induction,gas_line_cap,service,150,275,450,40,75,150,1,2,3,0,50,150,Gas line capping by licensed plumber,SRC_BLS_PLUMBER,2026-05-01
