state,program,status,administrator,source_url,last_reviewed,notes,source_id
AL,DOE_HOMES,prelaunch,Alabama Dept. of Economic and Community Affairs,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,Verify with state energy office before relying on amount,SRC_DOE_HOMES
AK,DOE_HOMES,prelaunch,Alaska Housing Finance Corporation,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
AZ,DOE_HOMES,open,Arizona Governor's Office of Resiliency,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
AR,DOE_HOMES,prelaunch,Arkansas Energy Office,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
CA,DOE_HOMES,reserved,California Energy Commission (TECH HEEHRA),https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,Single-family HEEHRA funds fully reserved; verify before relying,SRC_DOE_HOMES
CO,DOE_HOMES,open,Colorado Energy Office,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
CT,DOE_HOMES,prelaunch,Connecticut Green Bank,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
DE,DOE_HOMES,prelaunch,Delaware Dept. of Natural Resources,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
DC,DOE_HOMES,open,DC Department of Energy & Environment,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
FL,DOE_HOMES,prelaunch,Florida Dept. of Agriculture and Consumer Services,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
GA,DOE_HOMES,open,Georgia Environmental Finance Authority,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
HI,DOE_HOMES,open,Hawaii State Energy Office,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
ID,DOE_HOMES,prelaunch,Idaho Governor's Office of Energy and Mineral Resources,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
IL,DOE_HOMES,open,Illinois EPA Office of Energy,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
IN,DOE_HOMES,prelaunch,Indiana Office of Energy Development,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
IA,DOE_HOMES,prelaunch,Iowa Economic Development Authority,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-08,,SRC_DOE_HOMES
