program_id,scope,state,utility,module,program_name,incentive_type,amount_low,amount_mid,amount_high,percent,cap,income_rule,eligible_equipment,expiration_date,status,source_url,last_reviewed,notes,source_id
FED_25C_HP,federal,US,,heat_pump,Energy Efficient Home Improvement Credit (25C) - Heat Pumps,tax_credit,0,0,2000,30,2000,none,ENERGY STAR certified heat pumps,2025-12-31,expired,https://www.energystar.gov/about/federal-tax-credits/air-source-heat-pumps,2026-05-08,OBBBA terminated 25C for property placed in service after 2025-12-31. Amounts retained for historical asOf-date calculations; isExpired() filter in calc.ts gates current applicability.,SRC_IRS_25C
FED_25C_HPWH,federal,US,,hpwh,Energy Efficient Home Improvement Credit (25C) - Heat Pump Water Heater,tax_credit,0,0,2000,30,2000,none,ENERGY STAR HPWH,2025-12-31,expired,https://www.energystar.gov/about/federal-tax-credits/heat-pump-water-heaters,2026-05-08,OBBBA terminated 25C for property placed in service after 2025-12-31. Amounts retained for historical asOf-date calculations; isExpired() filter in calc.ts gates current applicability.,SRC_IRS_25C
FED_25C_PANEL,federal,US,,panel,Energy Efficient Home Improvement Credit (25C) - Electrical Panel,tax_credit,0,0,600,30,600,none,Panel upgrade enabling qualified electrification,2025-12-31,expired,https://www.irs.gov/credits-deductions/energy-efficient-home-improvement-credit,2026-05-08,OBBBA terminated 25C for property placed in service after 2025-12-31. Amounts retained for historical asOf-date calculations; isExpired() filter in calc.ts gates current applicability.,SRC_IRS_25C
FED_30C_EVSE,federal,US,,ev_charger,Alternative Fuel Vehicle Refueling Property Credit (30C),tax_credit,0,0,1000,30,1000,none,EV charging equipment in eligible census tract,2026-06-30,expired,https://www.irs.gov/forms-pubs/about-form-8911,2026-07-04,Expired for property placed in service after 2026-06-30 (OBBBA); eligibility was limited to qualifying census tracts,SRC_IRS_8911
DOE_HOMES_HP,federal,US,,heat_pump,DOE Home Energy Rebates (HOMES/HEEHRA) - Heat Pump,rebate,0,4000,8000,,8000,income_qualified,ENERGY STAR heat pump,2031-09-30,state_rolling_out,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-01,Administered by states; income-qualified amounts vary,SRC_DOE_HOMES
DOE_HOMES_HPWH,federal,US,,hpwh,DOE Home Energy Rebates - Heat Pump Water Heater,rebate,0,1750,1750,,1750,income_qualified,ENERGY STAR HPWH,2031-09-30,state_rolling_out,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-01,Income-qualified rebate via state administrator,SRC_DOE_HOMES
DOE_HOMES_PANEL,federal,US,,panel,DOE Home Energy Rebates - Electrical Panel,rebate,0,2500,4000,,4000,income_qualified,Panel upgrade enabling electrification,2031-09-30,state_rolling_out,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-01,Combined wiring and panel rebate,SRC_DOE_HOMES
DOE_HOMES_INDUCTION,federal,US,,induction,DOE Home Energy Rebates - Electric Stove/Cooktop/Range,rebate,0,840,840,,840,income_qualified,Induction stove or cooktop,2031-09-30,state_rolling_out,https://www.energy.gov/scep/home-energy-rebates-programs,2026-05-01,Cap is $840 for stove/range/cooktop,SRC_DOE_HOMES
CA_TECH_HP,state,CA,,heat_pump,TECH Clean California - Heat Pump HVAC,rebate,1000,3000,4000,,4000,none,Cold-climate heat pump per program,unspecified,reserved,https://techcleanca.com/incentives/single-family-incentives/,2026-06-24,Single-family HVAC funds fully reserved statewide as of 2026-02; TECH no longer accepting new reservations. Historical amount retained for context; not subtracted from 2026-forward net.,DSIRE_CA
NY_NYSERDA_HP,state,NY,,heat_pump,NYSERDA Clean Heat - Air Source Heat Pump,rebate,2000,6000,12000,,12000,none,Whole-home or partial ASHP per spec; reauthorized 2026-2030 at $5.36B; up to $10k ASHP / $12k cap; EmPower+ adds up to $24k income-qualified,unspecified,active,https://cleanheat.ny.gov/,2026-05-13,2026 reauthorization per cleanheat.ny.gov and homeenergybasics.com 2026 NY guide,NYSERDA
MA_MASS_HP,state,MA,,heat_pump,Mass Save - Whole-Home Heat Pump Rebate,rebate,1500,4500,8500,,8500,none,Whole-home $2650/ton (was $3000/ton in 2025); partial-home $1125/ton - both capped at $8500 effective 2026-01-01. R-410A no longer eligible.,unspecified,active,https://www.masssave.com/residential/rebates-offers-services/heating-and-cooling/heat-pumps/air-source-heat-pumps,2026-05-13,2026-01-01 cap reduction from $10000 to $8500 per Mass Save 2026 schedule,DSIRE_MA
CA_TECH_HPWH,state,CA,,hpwh,TECH Clean California - HPWH,rebate,500,1000,3800,,3800,none,Qualified HPWH,unspecified,reserved,https://techcleanca.com/incentives/single-family-incentives/,2026-06-24,Single-family HPWH funds fully reserved statewide as of 2026-02; TECH no longer accepting new reservations. Historical amount retained for context; not subtracted from net.,DSIRE_CA
NY_NYSERDA_HPWH,state,NY,,hpwh,NYSERDA - Heat Pump Water Heater,rebate,500,700,1000,,1000,none,Qualified HPWH,unspecified,active,https://www.nyserda.ny.gov/,2026-05-01,,NYSERDA
MA_MASS_HPWH,state,MA,,hpwh,Mass Save - Heat Pump Water Heater,rebate,500,750,750,,750,none,Qualified HPWH,unspecified,active,https://www.masssave.com/,2026-05-01,,DSIRE_MA
CA_PEV_EVSE,state,CA,,ev_charger,California Various Utility EVSE Rebates,rebate,250,500,1500,,1500,none,Level 2 charger,unspecified,utility_specific,https://www.energy.ca.gov/programs-and-topics/programs/clean-transportation,2026-05-01,Specific amounts depend on utility (PG&E SCE SDG&E etc.),DSIRE_CA
NY_EV_INSTALL,state,NY,,ev_charger,NY Charge Ready Programs - Various Utilities,rebate,250,500,1000,,1000,none,Level 2 charger plus install,unspecified,utility_specific,https://www.nyserda.ny.gov/,2026-05-01,Varies by utility,NYSERDA
CO_HP_REBATE,state,CO,,heat_pump,Colorado Heat Pump Tax Credit,tax_credit,0,1500,1500,,1500,none,Qualifying heat pump,unspecified,active,https://energyoffice.colorado.gov/,2026-05-01,State income tax credit,DSIRE_CO
WA_HP_HEAT,state,WA,,heat_pump,Washington Heat Pump Program,rebate,800,1500,2000,,2000,none,Qualifying heat pump,unspecified,utility_specific,https://www.commerce.wa.gov/,2026-05-01,,DSIRE
IL_ICC_HP,state,IL,,heat_pump,Illinois Energy Efficiency Programs (ComEd/Ameren),rebate,300,1200,2000,,2000,none,Qualifying heat pump,unspecified,active,https://www.comed.com/WaysToSave,2026-05-01,Varies by utility,DSIRE_IL
GENERIC_UTILITY_HP,utility,US,GENERIC,heat_pump,Typical Utility Heat Pump Rebate Placeholder,rebate,200,500,1500,,1500,varies,Qualifying heat pump,unspecified,placeholder,,2026-05-01,Placeholder estimate when no specific utility lookup is configured,
GENERIC_UTILITY_EVSE,utility,US,GENERIC,ev_charger,Typical Utility EV Charger Rebate Placeholder,rebate,100,300,800,,800,varies,Level 2 charger,unspecified,placeholder,,2026-05-01,Placeholder estimate when no specific utility lookup is configured,
GENERIC_UTILITY_HPWH,utility,US,GENERIC,hpwh,Typical Utility HPWH Rebate Placeholder,rebate,200,400,1000,,1000,varies,Qualifying HPWH,unspecified,placeholder,,2026-05-01,Placeholder estimate when no specific utility lookup is configured,
